texto_original,resumen,source,doc_id,split,label,source_dataset,source_bucket,has_pair,len_src,len_pls,wc_src,wc_pls,len_ratio_pls_src,wc_ratio_pls_src,flesch_src,flesch_pls
"NIS-LL: a subscale (of 37-item NIS questionnaire) that provided a total neuropathic deficit score for the lower limbs. It assess muscle weakness, reflexes, sensation; scored separately for left, right limbs with a total possible NIS-LL score range of 0 to 88, higher score=greater impairment. Components of muscle weakness (hip and knee flexion, hip and knee extension, ankle dorsiflexors, ankle plantar flexors, toe extensors, toe flexors) scored on scale 0 (normal) to 4 (paralysis), higher score=greater weakness. Components of reflexes (quadriceps femoris, triceps surae); sensation (touch pressure, pin-prick, vibration, joint position) scored 0=normal, 1=decreased, or 2=absent. NIS-LL Muscle Weakness score range is 0 to 64, high score=more impairment. NIS-LL Sensation score range is 0 to 16, high score=more impairment. NIS-LL Reflexes score range is 0 to 8, high score=more impairment.",,test,NCT00925002.txt#L1,test,,clinicaltrials,test,False,895,0,129,0,0.0,0.0,43.85093023255814,
"Norfolk QOL-DN: 35-item participant-rated questionnaire to assess impact of DN on QOL; Item 1 to 7: scored as 1=symptom present, 0=symptom absent. Items 8 to 35: scored on 5-point Likert scale: 0=no problem to 4=severe problem (except item 32, where -1=""somewhat better"", -2=much better, 0=about the same, 1=somewhat worse, 2=much worse). Norfolk QOL-DN summarized in 5 domains (score range): physical functioning/large fiber neuropathy (-2 to 58), activities of daily living (ADLs) (0 to 20), symptoms (0 to 32), small fiber neuropathy (0 to 16), autonomic neuropathy (0 to 12); higher score=greater impairment, for each. Total score= -2 to 138 (higher score=worse QOL).",,test,NCT00925002.txt#L2,test,,clinicaltrials,test,False,671,0,102,0,0.0,0.0,46.58779411764709,
"Karnofsky performance scale was used for rating participant activities of daily living. It rated participant on 11-step scale ranged from 0-100, higher score=participant is better able to carry out daily activities. The lower the score, the worse the survival for most serious illnesses. Score range: 100=normal no complaints; no evidence of disease, 90=able to carry on normal activity; minor signs/symptoms of disease, 80=normal activity with effort; some signs or symptoms, 70=cares for self; unable to carry on normal activity or to do active work, 60=requires occasional assistance, but able to care for most personal needs, 50=requires considerable assistance and frequent medical care, 40=disabled; requires special care and assistance, 30=severely disabled; hospital admission is indicated although death not imminent, 20=very sick; hospital admission necessary, 10=moribund; fatal processes progressing rapidly and 0=dead, where lower score=worse survival for most serious illnesses.",,test,NCT00925002.txt#L3,test,,clinicaltrials,test,False,992,0,138,0,0.0,0.0,10.587065217391313,
Safety And Efficacy Evaluation Of Fx-1006A In Subjects With Transthyretin Amyloidosis,,test,NCT00925002.txt#L4,test,,clinicaltrials,test,False,85,0,11,0,0.0,0.0,18.77909090909094,
"Criteria for clinically significant changes: Supine and standing systolic blood pressure (BP): decrease from baseline of less than or equal to (<=) -20 millimeter of mercury (mmHg), increase from baseline of greater than or equal to (>=) 20 mmHg, systolic BP <90 mmHg or >180 mmHg; Supine and standing diastolic BP: decrease from baseline of <=-15 mmHg, increase from baseline of >= 15 mmHg, diastolic BP <50 mmHg or >105 mmHg; Supine and standing pulse rate: decrease from baseline of <=-15 beats per minute (bpm), increase from baseline of >=15 bpm, pulse rate <50 bpm or >120 bpm; Weight: decrease from baseline of <=-7 percentage (%) or increase from baseline of >=7%.",,test,NCT00925002.txt#L5,test,,clinicaltrials,test,False,672,0,112,0,0.0,0.0,-32.818333333333314,
"This is a Phase 3, open-label study designed to obtain additional long-term safety and efficacy data for oral tafamidis (20 mg soft gelatin capsule) administered once daily (QD). In addition, this study continued to provide tafamidis to Val30Met subjects who had completed Protocol Fx-006 (a 1-year, open-label extension study to Protocol Fx-005 which was a randomized, double-blind, placebo-controlled, 18-month study to evaluate the safety and efficacy of tafamidis) or non-Val30Met subjects who had completed Protocol Fx1A-201 (a Phase 2, open-label study to evaluate TTR stabilization, safety, and tolerability of tafamidis) for up to 10 years or until subjects had access to tafamidis for ATTR-PN via prescription. Upon regulatory approval for the treatment of ATTR-PN in their respective country and access to prescription tafamidis, subjects may have been withdrawn from the study. Such subjects were considered study completers.",,test,NCT00925002.txt#L6,test,,clinicaltrials,test,False,936,0,137,0,0.0,0.0,19.544242700729967,
"KPS: used for rating participant activities of daily living on 11-step scale from 0-100, higher score=participant is better able to carry out daily activities. Score range: 100=normal no complaints; no disease evidence, 90=able to carry normal activity; minor signs/symptoms of disease, 80=normal activity with effort; some signs/symptoms, 70=cares for self; unable to carry on normal activity, 60=requires occasional assistance, but able to care for most personal needs, 50=requires considerable assistance and frequent medical care, 40=disabled; requires special care, assistance, 30=severely disabled; hospital admission is indicated although death not imminent, 20=very sick; hospital admission necessary, 10=moribund; fatal processes progressing rapidly and 0=dead. The lower the score the worse is survival for most serious illnesses. Data for KPS score was not collected in parent studies Fx-005 and Fx-006, therefore not reported for any time points from parent studies.",,test,NCT00925002.txt#L7,test,,clinicaltrials,test,False,978,0,136,0,0.0,0.0,13.077941176470631,
An AE was any untoward medical occurrence in a participant who received study drug without regard to possibility of causal relationship. An SAE was an AE resulting in any of the following outcomes or deemed significant for any other reason: death; initial or prolonged inpatient hospitalization; life-threatening experience (immediate risk of dying); persistent or significant disability/incapacity; congenital anomaly. Treatment emergent are events between first dose of study drug and up to 28 days after last dose of study drug (up to 13 months) that were absent before treatment or that worsened relative to pretreatment state. AEs included both serious and non-serious AEs. Treatment-related AE was any untoward medical occurrence attributed to study drug in a participant who received study drug. Relatedness to study drug was assessed by the investigator.,,test,NCT01463306.txt#L1,test,,clinicaltrials,test,False,862,0,129,0,0.0,0.0,19.091569767441882,
"CogState brief battery consisted of 2 tasks-detection and pediatric identification task using a laptop computer with external response buttons. Prior tasks, participants were briefed rules, given an interactive demonstration and a sufficient number of practice trials. For each task, participant responded ""yes"" using a response button with dominant hand. Participants had to ""respond as fast and as accurately as possible."" Pediatric identification task: measured choice reaction time to assess visual attention. An event (a card turning face up) occurred in center of computer screen and participant decided if event met a predefined and unchanging criterion (is the color of the card black?); answered ""YES"" if criterion was met. A participant's RCI was calculated by dividing the change from individual baseline score by ([square root 2] times WSD),WSD=within-subject standard deviation from Cogstate task normative data. Improvement in cognition: RCI <=-1.65, decline in cognition: RCI =>1.65.",,test,NCT01463306.txt#L2,test,,clinicaltrials,test,False,998,0,144,0,0.0,0.0,29.48150000000001,
"CogState brief battery consisted of 2 tasks- detection and pediatric identification task using a laptop computer with external response buttons. Prior tasks, participants were briefed rules, given an interactive demonstration and a sufficient number of practice trials. For each task, participant responded ""yes"" using a response button with dominant hand. Participants had to ""respond as fast and as accurately as possible."" Detection task: measured simple reaction time to assess psychomotor function. Participant pressed a ""YES"" response key as soon as they detected an event (ie, a card turning face up presented in the center of the computer screen). A participant's RCI was calculated by dividing the change from individual baseline score by ([square root 2] times WSD), where WSD is within-subject standard deviation from Cogstate detection task normative data. Improvement in cognition when RCI <=-1.65, decline in cognition when RCI =>1.65.",,test,NCT01463306.txt#L3,test,,clinicaltrials,test,False,949,0,141,0,0.0,0.0,38.53333333333336,
